electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
0.0783578,9.91773,-39199.4,0.00314184,3,1,0,0,2.4,-2.534
0.140698,11.5882,-39198.7,198.75,3,1,0.00506783,0,2.4,-2.52893
0.147824,16.8582,-39199.9,397.387,3,1,0.0101359,0,2.4,-2.52386
0.142285,22.8685,-39201.6,596.027,3,1,0.015204,0,2.4,-2.5188
0.136747,28.8788,-39203.3,794.667,3,1,0.020272,0,2.4,-2.51373
0.131208,34.8888,-39205,993.298,3,1,0.0253398,0,2.4,-2.50866
0.396394,44.578,-39208,1191.92,3,1,0.0304079,0,2.4,-2.50359
0.663993,52.9602,-39210.4,1390.64,1,1,0.035476,0,2.4,-2.49852
0.844835,56.9308,-39209.9,1589.34,1,1,0.040544,0,2.4,-2.49346
0.971822,60.3955,-39209.3,1788.07,1,1,0.0456119,0,2.4,-2.48839
1.09788,63.8486,-39208.6,1986.8,1,1,0.0506799,0,2.4,-2.48332
1.22394,67.3017,-39207.9,2185.53,1,1,0.055748,0,2.4,-2.47825
1.34999,70.7546,-39207.3,2384.26,1,1,0.0608158,0,2.4,-2.47318
1.45406,73.4286,-39207.5,2582.95,1,1,0.0658839,0,2.4,-2.46812
1.54687,75.7033,-39208.3,2781.61,1,1,0.0709519,0,2.4,-2.46305
1.63967,77.978,-39209,2980.27,1,1,0.07602,0,2.4,-2.45798
1.73247,80.2525,-39209.7,3178.93,1,1,0.0810878,0,2.4,-2.45291
1.82528,82.5272,-39210.4,3377.59,1,1,0.0861559,0,2.4,-2.44784
1.88978,84.7275,-39211.3,3576.2,1,1,0.091224,0,2.4,-2.44278
1.81737,86.5179,-39212.6,3775.1,1,1,0.096292,0,2.4,-2.43771
1.72944,88.2572,-39214,3974.07,1,1,0.10136,0,2.4,-2.43264
1.64233,89.9986,-39215.4,4173.04,1,1,0.106428,0,2.4,-2.42757
1.70556,92.116,-39217.1,4371.86,1,1,0.111496,0,2.4,-2.4225
1.7688,94.2334,-39218.9,4570.67,1,1,0.116564,0,2.4,-2.41744
1.83202,96.3508,-39220.7,4769.48,1,1,0.121632,0,2.4,-2.41237
1.89526,98.4682,-39222.4,4968.29,1,1,0.1267,0,2.4,-2.4073
1.95849,100.586,-39224.2,5167.11,1,1,0.131768,0,2.4,-2.40223
2.02172,102.703,-39226,5365.91,1,1,0.136836,0,2.4,-2.39716
2.08495,104.82,-39227.7,5564.73,1,1,0.141904,0,2.4,-2.3921
2.25634,108.123,-39232.1,5763.4,1,1,0.146972,0,2.4,-2.38703
2.15093,109.775,-39238.8,5962.2,1,1,0.15204,0,2.4,-2.38196
2.04552,111.427,-39245.6,6160.99,1,1,0.157108,0,2.4,-2.37689
1.85922,114.555,-39251.4,6359.88,1,1,0.162176,0,2.4,-2.37182
1.61017,118.975,-39256.3,6558.84,1,1,0.167244,0,2.4,-2.36676
1.36112,123.394,-39261.3,6757.81,1,1,0.172312,0,2.4,-2.36169
1.11208,127.813,-39266.3,6956.77,1,1,0.17738,0,2.4,-2.35662
1.05121,129.286,-39270.3,7155.85,1,1,0.182448,0,2.4,-2.35155
1.00501,130.529,-39274.2,7354.95,1,1,0.187516,0,2.4,-2.34648
0.95881,131.772,-39278.2,7554.04,1,1,0.192584,0,2.4,-2.34142
0.912614,133.016,-39282.2,7753.13,1,1,0.197652,0,2.4,-2.33635
0.866415,134.259,-39286.1,7952.23,1,1,0.20272,0,2.4,-2.33128
0.820216,135.502,-39290.1,8151.32,1,1,0.207788,0,2.4,-2.32621
0.774019,136.745,-39294,8350.41,1,1,0.212856,0,2.4,-2.32114
0.726258,138.493,-39297.9,8549.52,1,1,0.217924,0,2.4,-2.31608
0.619579,139.37,-39300.2,8748.72,1,1,0.222992,0,2.4,-2.31101
0.497356,140.179,-39302.9,8947.91,1,1,0.22806,0,2.4,-2.30594
0.375138,140.989,-39305.6,9147.08,1,1,0.233128,0,2.4,-2.30087
0.252915,141.798,-39308.2,9346.27,1,1,0.238196,0,2.4,-2.2958
0.131679,142.654,-39310.8,9545.47,1,1,0.243264,0,2.4,-2.29074
0.0152568,143.737,-39313.3,9744.72,1,1,0.248332,0,2.4,-2.28567
-0.10116,144.819,-39315.8,9943.97,1,1,0.2534,0,2.4,-2.2806
-0.217583,145.901,-39318.3,10143.2,1,1,0.258468,0,2.4,-2.27553
-0.334006,146.984,-39320.7,10342.5,1,1,0.263536,0,2.4,-2.27046
-0.450423,148.066,-39323.2,10541.7,1,1,0.268604,0,2.4,-2.2654
-0.566846,149.149,-39325.7,10741,1,1,0.273672,0,2.4,-2.26033
-0.683269,150.231,-39328.2,10940.2,1,1,0.27874,0,2.4,-2.25526
-0.788223,150.973,-39331.1,11139.6,1,1,0.283808,0,2.4,-2.25019
-0.882557,151.399,-39334.5,11339,1,1,0.288876,0,2.4,-2.24512
-0.976895,151.825,-39337.9,11538.4,1,1,0.293944,0,2.4,-2.24006
-1.07123,152.251,-39341.3,11737.8,1,1,0.299012,0,2.4,-2.23499
-1.17581,152.665,-39344.7,11937.2,1,1,0.30408,0,2.4,-2.22992
-1.29612,153.061,-39348.1,12136.6,1,1,0.309148,0,2.4,-2.22485
-1.41644,153.457,-39351.5,12335.9,1,1,0.314216,0,2.4,-2.21978
