"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0823334,0.103779,-39446,14593,1,1,0.369964,0,0,-2.16404
0.0832658,0.111149,-39446.1,14792.9,1,1,0.375032,0,0,-2.15897
0.0843281,0.118059,-39446.1,14992.9,1,1,0.3801,0,0,-2.1539
0.0855203,0.124507,-39446.2,15192.8,1,1,0.385168,0,0,-2.14883
0.084052,0.126004,-39446.2,15392.7,1,1,0.390236,0,0,-2.14376
0.0743403,0.113638,-39446.3,15592.6,1,1,0.395304,0,0,-2.1387
0.0648607,0.101094,-39446.3,15792.5,1,1,0.400372,0,0,-2.13363
0.0556138,0.0883737,-39446.4,15992.4,1,1,0.40544,0,0,-2.12856
0.0465985,0.0754748,-39446.5,16192.3,1,1,0.410508,0,0,-2.12349
0.0378155,0.0623982,-39446.6,16392.2,1,1,0.415576,0,0,-2.11842
0.029265,0.0491473,-39446.6,16592.2,1,1,0.420644,0,0,-2.11336
0.0130833,0.0202318,-39446.7,16792.1,1,1,0.425712,0,0,-2.10829
-0.00691368,-0.0169146,-39446.8,16992,1,1,0.43078,0,0,-2.10322
-0.0259993,-0.0530002,-39446.9,17191.9,1,1,0.435848,0,0,-2.09815
-0.0244603,-0.0580552,-39446.9,17391.9,1,1,0.440916,0,0,-2.09308
-0.0109149,-0.0468725,-39447,17591.8,1,1,0.445984,0,0,-2.08802
0.00365838,-0.0365079,-39447.1,17791.7,1,1,0.451052,0,0,-2.08295
0.0192627,-0.026961,-39447.2,17991.6,1,1,0.45612,0,0,-2.07788
0.0358972,-0.0182321,-39447.2,18191.5,1,1,0.461188,0,0,-2.07281
0.0535635,-0.0103205,-39447.3,18391.4,1,1,0.466256,0,0,-2.06774
0.0675568,0.00212539,-39447.4,18591.4,1,1,0.471324,0,0,-2.06268
0.0739893,0.0229364,-39447.5,18791.3,1,1,0.476392,0,0,-2.05761
0.0802729,0.0434333,-39447.6,18991.2,1,1,0.48146,0,0,-2.05254
0.081551,0.0502609,-39447.7,19191.2,1,1,0.486528,0,0,-2.04747
0.0800792,0.0534167,-39447.8,19391.1,1,1,0.491596,0,0,-2.0424
0.0769003,0.0561524,-39447.9,19591,1,1,0.496664,0,0,-2.03734
0.0720147,0.0584635,-39448,19790.9,1,1,0.501732,0,0,-2.03227
0.0654211,0.0603592,-39448,19990.8,1,1,0.5068,0,0,-2.0272
0.0571203,0.0618349,-39448.1,20190.7,1,1,0.511868,0,0,-2.02213
0.0471116,0.062895,-39448.2,20390.6,1,1,0.516936,0,0,-2.01706
0.0353961,0.0635305,-39448.3,20590.6,1,1,0.522004,0,0,-2.012
0.0219732,0.063746,-39448.4,20790.5,1,1,0.527072,0,0,-2.00693
0.00684305,0.0635414,-39448.5,20990.4,1,1,0.53214,0,0,-2.00186
-0.00999566,0.0629187,-39448.6,21190.3,1,1,0.537208,0,0,-1.99679
-0.0285393,0.0618725,-39448.7,21390.3,1,1,0.542276,0,0,-1.99172
-0.0315861,0.065559,-39448.7,21590.2,1,1,0.547344,0,0,-1.98666
-0.0338225,0.0677843,-39448.8,21790.1,1,1,0.552412,0,0,-1.98159
-0.0352487,0.0685483,-39448.8,21990.1,1,1,0.55748,0,0,-1.97652
-0.0322125,0.0640468,-39448.9,22190,1,1,0.562548,0,0,-1.97145
-0.0150609,0.0460643,-39449,22389.9,1,1,0.567616,0,0,-1.96638
0.00040837,0.0323179,-39449.1,22589.9,1,1,0.572684,0,0,-1.96132
0.0141949,0.0228133,-39449.2,22789.8,1,1,0.577752,0,0,-1.95625
0.0262983,0.0175441,-39449.3,22989.7,1,1,0.58282,0,0,-1.95118
0.03672,0.016517,-39449.4,23189.6,1,1,0.587888,0,0,-1.94611
0.045457,0.0197227,-39449.5,23389.6,1,1,0.592956,0,0,-1.94104
0.0525167,0.027178,-39449.6,23589.5,1,1,0.598024,0,0,-1.93598
0.0578927,0.03887,-39449.7,23789.4,1,1,0.603092,0,0,-1.93091
0.061585,0.0547972,-39449.8,23989.3,1,1,0.60816,0,0,-1.92584
0.063595,0.0749635,-39449.9,24189.3,1,1,0.613228,0,0,-1.92077
0.0639226,0.0993712,-39450,24389.2,1,1,0.618296,0,0,-1.9157
0.0673203,0.0988817,-39450.1,24589.1,1,1,0.623364,0,0,-1.91064
0.0719602,0.0892403,-39450.2,24789.1,1,1,0.628432,0,0,-1.90557
0.0764317,0.0798722,-39450.2,24989,1,1,0.6335,0,0,-1.9005
0.0807196,0.0707854,-39450.3,25188.9,1,1,0.638568,0,0,-1.89543
0.0848315,0.061976,-39450.3,25388.8,1,1,0.643636,0,0,-1.89036
0.0887676,0.0534436,-39450.4,25588.8,1,1,0.648704,0,0,-1.8853
0.0925207,0.0451913,-39450.5,25788.7,1,1,0.653772,0,0,-1.88023
0.0960959,0.0387962,-39450.5,25988.7,1,1,0.65884,0,0,-1.87516
0.0982761,0.0544946,-39450.7,26188.6,1,1,0.663908,0,0,-1.87009
