electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.000403445,0.00108915,-39547,-0.00173489,3,1,0,0,0,-2.529
-0.000214312,0.000688346,-39547,200.029,3,1,0.00505805,0,0,-2.52394
-2.52E-05,0.000287543,-39547,400.059,3,1,0.0101161,0,0,-2.51888
9.52E-05,-0.000191313,-39547,600.09,3,1,0.0151742,0,0,-2.51383
-0.000446533,-0.000338912,-39547,800.111,3,1,0.020232,0,0,-2.50877
-0.000728891,-0.000282021,-39547,1000.14,3,1,0.02529,0,0,-2.50371
-0.000860571,-0.000240639,-39547,1200.17,1,1,0.0303481,0,0,-2.49865
nan,nan,nan,nan,0,0,0.0354061,0,0,-2.49359
-0.000779789,0.000125666,-39547,1600.23,1,1,0.0404642,0,0,-2.48854
-0.000739399,0.00030881,-39547,1800.25,1,1,0.045522,0,0,-2.48348
-0.000699008,0.000491962,-39547,2000.28,1,1,0.05058,0,0,-2.47842
-0.000543095,0.00048238,-39547,2200.32,1,1,0.0556381,0,0,-2.47336
-0.000385373,0.00046978,-39547,2400.35,1,1,0.0606961,0,0,-2.4683
-0.000540831,0.000454912,-39546.9,2600.37,1,1,0.0657539,0,0,-2.46325
-0.000740889,0.00043972,-39546.9,2800.4,1,1,0.070812,0,0,-2.45819
-0.000940947,0.000424528,-39546.9,3000.43,1,1,0.07587,0,0,-2.45313
-0.00114101,0.000409337,-39546.9,3200.46,1,1,0.0809281,0,0,-2.44807
-0.00134106,0.000394145,-39546.9,3400.49,1,1,0.0859861,0,0,-2.44301
-0.00154111,0.000378954,-39546.9,3600.51,1,1,0.0910439,0,0,-2.43796
-0.00174117,0.000363762,-39546.9,3800.54,1,1,0.096102,0,0,-2.4329
-0.00117552,0.000843229,-39546.9,4000.57,1,1,0.10116,0,0,-2.42784
-0.000474331,0.00141026,-39546.9,4200.6,1,1,0.106218,0,0,-2.42278
0.000230258,0.00195937,-39546.9,4400.63,1,1,0.111276,0,0,-2.41772
0.00128684,0.000183025,-39546.9,4600.65,1,1,0.116334,0,0,-2.41267
0.00146735,-0.000556131,-39546.9,4800.68,1,1,0.121392,0,0,-2.40761
0.00164786,-0.00129529,-39546.9,5000.71,1,1,0.12645,0,0,-2.40255
0.00182838,-0.00203444,-39546.9,5200.74,1,1,0.131508,0,0,-2.39749
0.00200889,-0.0027736,-39546.9,5400.77,1,1,0.136566,0,0,-2.39243
0.00195831,-0.00359238,-39546.9,5600.79,1,1,0.141624,0,0,-2.38738
0.00179527,-0.00444997,-39546.9,5800.82,1,1,0.146682,0,0,-2.38232
0.00112334,-0.00476288,-39546.9,6000.85,1,1,0.15174,0,0,-2.37726
0.00018615,-0.00479188,-39546.9,6200.88,1,1,0.156798,0,0,-2.3722
-0.00075099,-0.00482088,-39546.8,6400.9,1,1,0.161856,0,0,-2.36714
-0.00168817,-0.00484988,-39546.8,6600.93,1,1,0.166914,0,0,-2.36209
-0.00262536,-0.00487887,-39546.8,6800.96,1,1,0.171972,0,0,-2.35703
-0.00305751,-0.004902,-39546.8,7000.99,1,1,0.17703,0,0,-2.35197
-0.00149304,-0.00499945,-39546.8,7201.02,1,1,0.182088,0,0,-2.34691
0.000148775,-0.0052715,-39546.8,7401.04,1,1,0.187146,0,0,-2.34185
0.00179067,-0.00554356,-39546.8,7601.07,1,1,0.192204,0,0,-2.3368
0.00320804,-0.00535241,-39546.8,7801.1,1,1,0.197262,0,0,-2.33174
0.00431804,-0.00452711,-39546.8,8001.13,1,1,0.20232,0,0,-2.32668
0.00542804,-0.00370181,-39546.8,8201.16,1,1,0.207378,0,0,-2.32162
0.00662493,-0.00292418,-39546.7,8401.18,1,1,0.212436,0,0,-2.31656
