"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.91903e-05,0.000119067,-39526.3,0,202,1,0,0,0,-2.53
0.000186228,0.000109161,-39526.3,200.005,3,1,0.00505996,0,0,-2.52494
0.000209251,5.55402e-05,-39526.3,400.001,3,1,0.0101199,0,0,-2.51988
8.69047e-05,5.17294e-05,-39526.3,600.005,3,1,0.0151799,0,0,-2.51482
8.20909e-07,4.70918e-05,-39526.3,800.019,3,1,0.0202401,0,0,-2.50976
-2.06865e-05,-2.94913e-05,-39526.3,1000.01,3,1,0.0253,0,0,-2.5047
4.02151e-05,-0.000124252,-39526.3,1200.05,1,1,0.03036,0,0,-2.49964
5.02247e-05,-0.000130757,-39526.3,1400.04,1,1,0.0354199,0,0,-2.49458
5.64211e-05,-0.000135899,-39526.3,1600.04,1,1,0.0404799,0,0,-2.48952
5.88044e-05,-0.000139678,-39526.3,1800.03,1,1,0.0455399,0,0,-2.48446
5.73745e-05,-0.000142096,-39526.3,2000.04,1,1,0.0506001,0,0,-2.4794
4.22817e-05,-0.000122656,-39526.3,2200.07,1,1,0.05566,0,0,-2.47434
2.8196e-05,-9.69903e-05,-39526.3,2400.06,1,1,0.06072,0,0,-2.46928
1.85844e-05,-7.06112e-05,-39526.3,2600.06,1,1,0.0657799,0,0,-2.46422
1.3447e-05,-4.35184e-05,-39526.3,2800.05,1,1,0.0708399,0,0,-2.45916
1.27838e-05,-1.57106e-05,-39526.3,3000.06,1,1,0.0759001,0,0,-2.4541
1.65791e-05,1.28046e-05,-39526.3,3200.05,1,1,0.08096,0,0,-2.44904
2.48634e-05,4.20365e-05,-39526.3,3400.04,1,1,0.08602,0,0,-2.44398
3.76216e-05,7.1982e-05,-39526.3,3600.03,1,1,0.09108,0,0,-2.43892
5.48537e-05,0.000102641,-39526.3,3800.02,1,1,0.0961399,0,0,-2.43386
0.00012305,0.000136692,-39526.3,4000.01,1,1,0.1012,0,0,-2.4288
0.000242828,0.000157264,-39526.3,4200.01,1,1,0.10626,0,0,-2.42374
