"electric field:0","electric field:1","electric field:2","potential","GeometryIds","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.51397,-5.63855,-39524.4,14402.8,1,1,0.36432,0,2.4,-2.16568
-0.493985,-5.53034,-39524.4,14602.8,1,1,0.36938,0,2.4,-2.16062
-0.474,-5.42214,-39524.3,14802.8,1,1,0.37444,0,2.4,-2.15556
-0.479691,-5.27394,-39524.3,15002.8,1,1,0.3795,0,2.4,-2.1505
-0.364378,-5.11196,-39524.2,15202.8,1,1,0.38456,0,2.4,-2.14544
-0.315386,-4.99545,-39524.2,15402.8,1,1,0.38962,0,2.4,-2.14038
-0.266398,-4.87895,-39524.2,15602.7,1,1,0.39468,0,2.4,-2.13532
-0.217409,-4.76245,-39524.2,15802.7,1,1,0.39974,0,2.4,-2.13026
-0.16842,-4.64594,-39524.2,16002.7,1,1,0.4048,0,2.4,-2.1252
-0.119431,-4.52944,-39524.2,16202.7,1,1,0.40986,0,2.4,-2.12014
-0.0677666,-4.40691,-39524.2,16402.7,1,1,0.41492,0,2.4,-2.11508
-0.015885,-4.28389,-39524.2,16602.7,1,1,0.41998,0,2.4,-2.11002
0.0359941,-4.16087,-39524.1,16802.7,1,1,0.42504,0,2.4,-2.10496
0.0878732,-4.03786,-39524.1,17002.7,1,1,0.4301,0,2.4,-2.0999
0.137648,-3.9213,-39524.1,17202.7,1,1,0.43516,0,2.4,-2.09484
0.184468,-3.81697,-39524.1,17402.7,1,1,0.44022,0,2.4,-2.08978
0.241448,-3.68329,-39524.1,17602.7,1,1,0.44528,0,2.4,-2.08472
0.298426,-3.54961,-39524.1,17802.7,1,1,0.45034,0,2.4,-2.07966
0.355404,-3.41594,-39524,18002.6,1,1,0.4554,0,2.4,-2.0746
0.398717,-3.27083,-39524.1,18202.6,1,1,0.46046,0,2.4,-2.06954
0.431503,-3.11693,-39524.1,18402.6,1,1,0.46552,0,2.4,-2.06448
0.460109,-2.95317,-39524.2,18602.6,1,1,0.47058,0,2.4,-2.05942
0.482699,-2.77523,-39524.3,18802.6,1,1,0.47564,0,2.4,-2.05436
0.515041,-2.54209,-39524.6,19002.6,1,1,0.4807,0,2.4,-2.0493
0.546973,-2.30112,-39524.9,19202.6,1,1,0.48576,0,2.4,-2.04424
0.551482,-2.32106,-39525,19402.6,1,1,0.49082,0,2.4,-2.03918
0.552141,-2.57277,-39525.1,19602.6,1,1,0.49588,0,2.4,-2.03412
0.549117,-2.73253,-39525.1,19802.6,1,1,0.50094,0,2.4,-2.02906
