electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.125443,-11.1075,-39900,-0.000912538,3,1,0,0,2.4,-2.526
-0.155208,-14.2432,-39900.9,201.482,3,1,0.00505209,0,2.4,-2.52095
0.0804559,-24.0549,-39897.3,403.078,3,1,0.0101039,0,2.4,-2.5159
0.316131,-33.867,-39893.8,604.683,3,1,0.015156,0,2.4,-2.51084
0.551806,-43.6791,-39890.3,806.289,3,1,0.0202081,0,2.4,-2.50579
0.759947,-62.5744,-39882.6,1007.92,3,1,0.02526,0,2.4,-2.50074
0.730352,-68.091,-39882.2,1209.34,1,1,0.0303121,0,2.4,-2.49569
0.597779,-73.1457,-39882.7,1410.83,1,1,0.0353639,0,2.4,-2.49064
0.450137,-77.8937,-39883.4,1612.31,1,1,0.040416,0,2.4,-2.48558
0.302496,-82.6416,-39884.2,1813.79,1,1,0.0454681,0,2.4,-2.48053
0.154861,-87.3894,-39884.9,2015.25,1,1,0.0505199,0,2.4,-2.47548
0.0342702,-91.7363,-39885.2,2216.75,1,1,0.055572,0,2.4,-2.47043
0.0182272,-94.5331,-39884.2,2418.32,1,1,0.0606241,0,2.4,-2.46538
0.00218468,-97.3298,-39883.1,2619.87,1,1,0.065676,0,2.4,-2.46032
-0.0138584,-100.127,-39882,2821.44,1,1,0.0707281,0,2.4,-2.45527
-0.0299008,-102.923,-39880.9,3023,1,1,0.0757799,0,2.4,-2.45022
-0.0459437,-105.72,-39879.8,3224.56,1,1,0.080832,0,2.4,-2.44517
-0.0567553,-108.27,-39878.3,3426.11,1,1,0.0858841,0,2.4,-2.44012
-0.0642219,-110.723,-39876.5,3627.28,1,1,0.0909359,0,2.4,-2.43506
-0.0716885,-113.176,-39874.8,3828.45,1,1,0.095988,0,2.4,-2.43001
-0.0229332,-115.667,-39872.5,4029.72,1,1,0.10104,0,2.4,-2.42496
0.0771994,-118.192,-39869.7,4231.06,1,1,0.106092,0,2.4,-2.41991
0.177337,-120.717,-39866.9,4432.4,1,1,0.111144,0,2.4,-2.41486
0.277469,-123.243,-39864.1,4633.74,1,1,0.116196,0,2.4,-2.4098
0.377607,-125.768,-39861.2,4835.09,1,1,0.121248,0,2.4,-2.40475
0.477744,-128.293,-39858.4,5036.43,1,1,0.1263,0,2.4,-2.3997
0.577877,-130.818,-39855.6,5237.77,1,1,0.131352,0,2.4,-2.39465
0.978101,-134.887,-39852.1,5439.27,1,1,0.136404,0,2.4,-2.3896
1.35806,-135.893,-39842.4,5640.63,1,1,0.141456,0,2.4,-2.38454
1.71128,-136.582,-39832.5,5841.97,1,1,0.146508,0,2.4,-2.37949
2.04369,-137.298,-39822.6,6043.3,1,1,0.15156,0,2.4,-2.37444
1.81847,-140.55,-39815.9,6244.37,1,1,0.156612,0,2.4,-2.36939
1.59323,-143.802,-39809.1,6445.45,1,1,0.161664,0,2.4,-2.36434
1.368,-147.054,-39802.3,6646.53,1,1,0.166716,0,2.4,-2.35928
1.1725,-149.418,-39796.4,6847.55,1,1,0.171768,0,2.4,-2.35423
1.02156,-150.452,-39791.9,7048.5,1,1,0.17682,0,2.4,-2.34918
0.870622,-151.486,-39787.5,7249.45,1,1,0.181872,0,2.4,-2.34413
0.719692,-152.52,-39783,7450.4,1,1,0.186924,0,2.4,-2.33908
0.568756,-153.555,-39778.5,7651.35,1,1,0.191976,0,2.4,-2.33402
0.417826,-154.589,-39774,7852.29,1,1,0.197028,0,2.4,-2.32897
0.266889,-155.623,-39769.6,8053.25,1,1,0.20208,0,2.4,-2.32392
0.115952,-156.657,-39765.1,8254.2,1,1,0.207132,0,2.4,-2.31887
-0.197112,-156.884,-39761.1,8455.17,1,1,0.212184,0,2.4,-2.31382
-0.315276,-156.931,-39757.9,8656.03,1,1,0.217236,0,2.4,-2.30876
-0.392053,-156.958,-39754.8,8856.86,1,1,0.222288,0,2.4,-2.30371
-0.470485,-157.384,-39751.9,9057.69,1,1,0.22734,0,2.4,-2.29866
-0.493065,-158.465,-39749.2,9258.54,1,1,0.232392,0,2.4,-2.29361
-0.515645,-159.546,-39746.5,9459.37,1,1,0.237444,0,2.4,-2.28856
-0.538226,-160.627,-39743.9,9660.21,1,1,0.242496,0,2.4,-2.2835
-0.560807,-161.707,-39741.2,9861.06,1,1,0.247548,0,2.4,-2.27845
-0.583386,-162.788,-39738.5,10061.9,1,1,0.2526,0,2.4,-2.2734
-0.605967,-163.869,-39735.9,10262.7,1,1,0.257652,0,2.4,-2.26835
