electric field:0,electric field:1,electric field:2,potential,GeometryIds,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.0477471,-4.49146,-39636.7,-0.00173833,3,1,0,0,2.4,-2.529
-0.056484,-5.31382,-39637.1,200.442,3,1,0.00505805,0,2.4,-2.52394
0.0712621,-8.31823,-39635.8,400.934,3,1,0.0101161,0,2.4,-2.51888
0.199008,-11.3226,-39634.4,601.427,3,1,0.0151742,0,2.4,-2.51383
0.326748,-14.3269,-39633.1,801.91,3,1,0.020232,0,2.4,-2.50877
0.525385,-18.5672,-39631.1,1002.41,3,1,0.02529,0,2.4,-2.50371
0.730566,-22.9666,-39629,1202.86,1,1,0.0303481,0,2.4,-2.49865
0.733053,-24.8285,-39628.8,1403.31,1,1,0.0354061,0,2.4,-2.49359
0.689272,-26.5836,-39628.9,1603.75,1,1,0.0404642,0,2.4,-2.48854
0.643781,-28.3298,-39629,1804.19,1,1,0.045522,0,2.4,-2.48348
0.598289,-30.0762,-39629,2004.63,1,1,0.05058,0,2.4,-2.47842
0.552797,-31.8225,-39629.1,2205.07,1,1,0.0556381,0,2.4,-2.47336
0.550693,-33.0817,-39628.8,2405.53,1,1,0.0606961,0,2.4,-2.4683
0.574595,-34.0489,-39628.3,2605.99,1,1,0.0657539,0,2.4,-2.46325
0.598498,-35.0161,-39627.8,2806.45,1,1,0.070812,0,2.4,-2.45819
0.6224,-35.9833,-39627.2,3006.92,1,1,0.07587,0,2.4,-2.45313
0.646303,-36.9505,-39626.7,3207.39,1,1,0.0809281,0,2.4,-2.44807
0.661458,-37.9161,-39626.2,3407.88,1,1,0.0859861,0,2.4,-2.44301
0.631584,-38.7804,-39625.6,3608.26,1,1,0.0910439,0,2.4,-2.43796
0.595768,-39.618,-39625,3808.61,1,1,0.096102,0,2.4,-2.4329
0.559951,-40.4555,-39624.4,4008.96,1,1,0.10116,0,2.4,-2.42784
0.640407,-41.1782,-39623.3,4209.34,1,1,0.106218,0,2.4,-2.42278
0.726664,-41.8952,-39622.1,4409.72,1,1,0.111276,0,2.4,-2.41772
0.812918,-42.6121,-39621,4610.1,1,1,0.116334,0,2.4,-2.41267
0.899175,-43.3291,-39619.9,4810.48,1,1,0.121392,0,2.4,-2.40761
0.985433,-44.046,-39618.8,5010.87,1,1,0.12645,0,2.4,-2.40255
1.07169,-44.763,-39617.6,5211.25,1,1,0.131508,0,2.4,-2.39749
1.15795,-45.48,-39616.5,5411.64,1,1,0.136566,0,2.4,-2.39243
1.56096,-46.3248,-39614,5612.06,1,1,0.141624,0,2.4,-2.38738
1.73954,-45.9607,-39610.4,5812.43,1,1,0.146682,0,2.4,-2.38232
1.91811,-45.5966,-39606.8,6012.81,1,1,0.15174,0,2.4,-2.37726
1.89828,-45.5065,-39603.7,6213.14,1,1,0.156798,0,2.4,-2.3722
1.66351,-45.7618,-39601.4,6413.4,1,1,0.161856,0,2.4,-2.36714
1.42873,-46.0172,-39599,6613.67,1,1,0.166914,0,2.4,-2.36209
1.19395,-46.2726,-39596.7,6813.94,1,1,0.171972,0,2.4,-2.35703
1.06903,-46.3575,-39595.1,7014.19,1,1,0.17703,0,2.4,-2.35197
0.96397,-46.4117,-39593.8,7214.43,1,1,0.182088,0,2.4,-2.34691
0.858919,-46.4658,-39592.4,7414.67,1,1,0.187146,0,2.4,-2.34185
0.753863,-46.5199,-39591,7614.92,1,1,0.192204,0,2.4,-2.3368
0.648807,-46.574,-39589.7,7815.16,1,1,0.197262,0,2.4,-2.33174
0.543752,-46.6281,-39588.3,8015.41,1,1,0.20232,0,2.4,-2.32668
0.438696,-46.6822,-39587,8215.65,1,1,0.207378,0,2.4,-2.32162
0.270272,-46.6234,-39585.7,8415.89,1,1,0.212436,0,2.4,-2.31656
0.0546374,-46.3863,-39584.7,8616.12,1,1,0.217494,0,2.4,-2.31151
-0.0145516,-46.1822,-39584,8816.32,1,1,0.222552,0,2.4,-2.30645
-0.0926974,-46.0166,-39583.2,9016.53,1,1,0.22761,0,2.4,-2.30139
-0.178234,-46.0264,-39582.5,9216.74,1,1,0.232668,0,2.4,-2.29633
-0.250654,-46.1213,-39581.7,9416.94,1,1,0.237726,0,2.4,-2.29127
-0.323077,-46.2163,-39580.9,9617.16,1,1,0.242784,0,2.4,-2.28622
-0.395501,-46.3113,-39580.1,9817.37,1,1,0.247842,0,2.4,-2.28116
-0.467924,-46.4062,-39579.3,10017.6,1,1,0.2529,0,2.4,-2.2761
-0.540344,-46.5012,-39578.5,10217.8,1,1,0.257958,0,2.4,-2.27104
-0.612767,-46.5962,-39577.7,10418,1,1,0.263016,0,2.4,-2.26598
-0.648535,-46.6506,-39576.9,10618.2,1,1,0.268074,0,2.4,-2.26093
-0.624943,-46.6394,-39575.9,10818.3,1,1,0.273132,0,2.4,-2.25587
-0.601846,-46.6234,-39574.9,11018.5,1,1,0.27819,0,2.4,-2.25081
-0.580964,-46.5861,-39574,11218.6,1,1,0.283248,0,2.4,-2.24575
-0.560082,-46.5488,-39573.1,11418.8,1,1,0.288306,0,2.4,-2.24069
-0.539199,-46.5115,-39572.1,11618.9,1,1,0.293364,0,2.4,-2.23564
-0.543496,-46.5119,-39571.2,11819.1,1,1,0.298422,0,2.4,-2.23058
-0.617778,-46.617,-39570.3,12019.2,1,1,0.30348,0,2.4,-2.22552
-0.692057,-46.7222,-39569.4,12219.4,1,1,0.308538,0,2.4,-2.22046
-0.737223,-46.7643,-39568.5,12419.5,1,1,0.313596,0,2.4,-2.2154
-0.650914,-46.5221,-39567.6,12619.7,1,1,0.318654,0,2.4,-2.21035
-0.564605,-46.2798,-39566.7,12819.8,1,1,0.323712,0,2.4,-2.20529
-0.533025,-46.0251,-39566,13019.9,1,1,0.32877,0,2.4,-2.20023
-0.509917,-45.7684,-39565.4,13220,1,1,0.333828,0,2.4,-2.19517
-0.486808,-45.5117,-39564.8,13420.1,1,1,0.338886,0,2.4,-2.19011
-0.463699,-45.255,-39564.1,13620.2,1,1,0.343944,0,2.4,-2.18506
-0.44059,-44.9983,-39563.5,13820.3,1,1,0.349002,0,2.4,-2.18
-0.417482,-44.7416,-39562.8,14020.4,1,1,0.35406,0,2.4,-2.17494
-0.394373,-44.4849,-39562.2,14220.5,1,1,0.359118,0,2.4,-2.16988
-0.371264,-44.2282,-39561.5,14420.6,1,1,0.364176,0,2.4,-2.16482
-0.348155,-43.9716,-39560.9,14620.7,1,1,0.369234,0,2.4,-2.15977
-0.329188,-43.7104,-39560.2,14820.9,1,1,0.374292,0,2.4,-2.15471
-0.317462,-43.4102,-39559.5,15021,1,1,0.37935,0,2.4,-2.14965
-0.195836,-43.0292,-39558.9,15221,1,1,0.384408,0,2.4,-2.14459
-0.153093,-42.7864,-39558.4,15421.1,1,1,0.389466,0,2.4,-2.13953
-0.110349,-42.5437,-39558,15621.2,1,1,0.394524,0,2.4,-2.13448
-0.0676057,-42.3009,-39557.5,15821.3,1,1,0.399582,0,2.4,-2.12942
-0.0248642,-42.0582,-39557.1,16021.3,1,1,0.40464,0,2.4,-2.12436
0.0178794,-41.8155,-39556.6,16221.4,1,1,0.409698,0,2.4,-2.1193
0.065102,-41.5746,-39556.1,16421.5,1,1,0.414756,0,2.4,-2.11424
0.11195,-41.3335,-39555.6,16621.6,1,1,0.419814,0,2.4,-2.10919
0.158798,-41.0925,-39555.1,16821.6,1,1,0.424872,0,2.4,-2.10413
0.205644,-40.8515,-39554.7,17021.7,1,1,0.42993,0,2.4,-2.09907
0.246092,-40.6273,-39554.2,17221.8,1,1,0.434988,0,2.4,-2.09401
0.299674,-40.4342,-39553.7,17421.8,1,1,0.440046,0,2.4,-2.08895
0.361034,-40.2368,-39553.2,17621.9,1,1,0.445104,0,2.4,-2.0839
0.422391,-40.0395,-39552.7,17821.9,1,1,0.450162,0,2.4,-2.07884
0.483752,-39.842,-39552.1,18022,1,1,0.45522,0,2.4,-2.07378
0.504409,-39.3913,-39551.6,18222,1,1,0.460278,0,2.4,-2.06872
0.509766,-38.8453,-39551.1,18422.1,1,1,0.465336,0,2.4,-2.06366
0.507135,-38.2459,-39550.5,18622.2,1,1,0.470394,0,2.4,-2.05861
0.498505,-37.6063,-39550,18822.2,1,1,0.475452,0,2.4,-2.05355
0.514916,-36.6604,-39549.7,19022.2,1,1,0.48051,0,2.4,-2.04849
0.522201,-35.7101,-39549.5,19222.2,1,1,0.485568,0,2.4,-2.04343
0.522885,-35.3902,-39549.2,19422.3,1,1,0.490626,0,2.4,-2.03837
0.539766,-35.441,-39548.9,19622.3,1,1,0.495684,0,2.4,-2.03332
0.553443,-35.3155,-39548.6,19822.4,1,1,0.500742,0,2.4,-2.02826
0.563976,-35.017,-39548.4,20022.4,1,1,0.5058,0,2.4,-2.0232
0.57451,-34.7185,-39548.1,20222.5,1,1,0.510858,0,2.4,-2.01814
0.583762,-34.4279,-39547.9,20422.5,1,1,0.515916,0,2.4,-2.01308
0.563952,-34.319,-39547.7,20622.5,1,1,0.520974,0,2.4,-2.00803
0.545629,-34.3055,-39547.4,20822.6,1,1,0.526032,0,2.4,-2.00297
0.527306,-34.292,-39547.1,21022.6,1,1,0.53109,0,2.4,-1.99791
0.508983,-34.2784,-39546.8,21222.6,1,1,0.536148,0,2.4,-1.99285
0.478158,-34.1483,-39546.6,21422.6,1,1,0.541206,0,2.4,-1.98779
0.442805,-33.9759,-39546.3,21622.7,1,1,0.546264,0,2.4,-1.98274
0.407453,-33.8035,-39546,21822.7,1,1,0.551322,0,2.4,-1.97768
0.372101,-33.6311,-39545.8,22022.7,1,1,0.55638,0,2.4,-1.97262
0.343324,-33.4871,-39545.5,22222.7,1,1,0.561438,0,2.4,-1.96756
0.32221,-33.3761,-39545.3,22422.8,1,1,0.566496,0,2.4,-1.9625
0.287178,-33.2219,-39545.1,22622.8,1,1,0.571554,0,2.4,-1.95745
0.223132,-32.9776,-39544.7,22822.8,1,1,0.576612,0,2.4,-1.95239
